DATE,THREEFY5
1990-03-01,8.4271
1990-03-02,8.4078
1990-03-05,8.4783
1990-03-06,8.4663
1990-03-07,8.4469
1990-03-08,8.4415
1990-03-09,8.5188
1990-03-12,8.5387
1990-03-13,8.5961
1990-03-14,8.5566
1990-03-15,8.5515
1990-03-16,8.5007
1990-03-19,8.4996
1990-03-20,8.4773
1990-03-21,8.4589
1990-03-22,8.4392
1990-03-23,8.4270
1990-03-26,8.4161
1990-03-27,8.4241
1990-03-28,8.4319
1990-03-29,8.4701
1990-03-30,8.5227
1990-04-02,8.5349
1990-04-03,8.5287
1990-04-04,8.4669
1990-04-05,8.4617
1990-04-06,8.4421
1990-04-09,8.4650
1990-04-10,8.4724
1990-04-11,8.4843
1990-04-12,8.4910
1990-04-13,.
1990-04-16,8.5189
1990-04-17,8.6002
1990-04-18,8.6935
1990-04-19,8.7224
1990-04-20,8.7539
1990-04-23,8.7968
1990-04-24,8.8383
1990-04-25,8.8580
1990-04-26,8.9211
1990-04-27,8.9362
1990-04-30,8.9200
1990-05-01,8.9401
1990-05-02,8.9607
1990-05-03,8.9222
1990-05-04,8.7284
1990-05-07,8.7133
1990-05-08,8.6709
1990-05-09,8.7270
1990-05-10,8.6855
1990-05-11,8.5418
1990-05-14,8.4816
1990-05-15,8.5032
1990-05-16,8.5090
1990-05-17,8.5212
1990-05-18,8.5775
1990-05-21,8.5833
1990-05-22,8.5173
1990-05-23,8.4662
1990-05-24,8.4602
1990-05-25,8.4892
1990-05-28,.
1990-05-29,8.4812
1990-05-30,8.4539
1990-05-31,8.4426
1990-06-01,8.2968
1990-06-04,8.2696
1990-06-05,8.2922
1990-06-06,8.2995
1990-06-07,8.2894
1990-06-08,8.2927
1990-06-11,8.3095
1990-06-12,8.3127
1990-06-13,8.2434
1990-06-14,8.2082
1990-06-15,8.2674
1990-06-18,8.3192
1990-06-19,8.3424
1990-06-20,8.3763
1990-06-21,8.3655
1990-06-22,8.3496
1990-06-25,8.3950
1990-06-26,8.3943
1990-06-27,8.3607
1990-06-28,8.3047
1990-06-29,8.2505
1990-07-02,8.2431
1990-07-03,8.2194
1990-07-04,.
1990-07-05,8.2194
1990-07-06,8.3062
1990-07-09,8.3671
1990-07-10,8.3845
1990-07-11,8.3773
1990-07-12,8.2845
1990-07-13,8.2266
1990-07-16,8.2147
1990-07-17,8.2087
1990-07-18,8.2296
1990-07-19,8.2379
1990-07-20,8.2032
1990-07-23,8.1912
1990-07-24,8.2307
1990-07-25,8.2176
1990-07-26,8.2073
1990-07-27,8.1490
1990-07-30,8.0639
1990-07-31,8.0431
1990-08-01,7.9745
1990-08-02,8.0249
1990-08-03,8.0211
1990-08-06,8.1964
1990-08-07,8.3164
1990-08-08,8.3497
1990-08-09,8.2879
1990-08-10,8.2816
1990-08-13,8.2986
1990-08-14,8.2717
1990-08-15,8.2442
1990-08-16,8.3349
1990-08-17,8.3819
1990-08-20,8.4049
1990-08-21,8.4363
1990-08-22,8.4860
1990-08-23,8.5577
1990-08-24,8.6111
1990-08-27,8.5326
1990-08-28,8.5453
1990-08-29,8.4850
1990-08-30,8.4727
1990-08-31,8.4588
1990-09-03,.
1990-09-04,8.4819
1990-09-05,8.4466
1990-09-06,8.4393
1990-09-07,8.4176
1990-09-10,8.4464
1990-09-11,8.4393
1990-09-12,8.4164
1990-09-13,8.4002
1990-09-14,8.4266
1990-09-17,8.4542
1990-09-18,8.4558
1990-09-19,8.4606
1990-09-20,8.4857
1990-09-21,8.5288
1990-09-24,8.5847
1990-09-25,8.5946
1990-09-26,8.5836
1990-09-27,8.5054
1990-09-28,8.4259
1990-10-01,8.3428
1990-10-02,8.3083
1990-10-03,8.2990
1990-10-04,8.2665
1990-10-05,8.2314
1990-10-08,.
1990-10-09,8.3615
1990-10-10,8.4311
1990-10-11,8.4658
1990-10-12,8.4166
1990-10-15,8.3824
1990-10-16,8.3636
1990-10-17,8.3390
1990-10-18,8.2901
1990-10-19,8.2154
1990-10-22,8.1967
1990-10-23,8.1942
